Date,Open Price,Close Price,High Price,Low Price,Adj.Close Price,wrong Volume
01-Sep-22,7284.15,7148.5,7284.15,7131.69,7148.5,161709467
02-Sep-22,7148.5,7281.19,7288.72,7148.5,7281.19,162211138
05-Sep-22,7281.19,7287.43,7288.46,7191.17,7287.43,149622550
06-Sep-22,7287.43,7300.44,7324.19,7256.51,7300.44,255655427
07-Sep-22,7300.44,7237.83,7300.44,7186.56,7237.83,361075744
08-Sep-22,7237.83,7262.06,7273.01,7175.75,7262.06,114521842
09-Sep-22,7262.06,7351.07,7386.59,7262.06,7351.07,136190480
12-Sep-22,7351.07,7473.03,7483,7351.07,7473.03,294550070
13-Sep-22,7473.03,7385.86,7514.04,7385.86,7385.86,166685872
14-Sep-22,7385.86,7277.3,7385.86,7259.24,7277.3,276837791
15-Sep-22,7277.3,7282.07,7329,7258.67,7282.07,298191736
16-Sep-22,7282.07,7236.68,7297.1,7236.17,7236.68,539075195
20-Sep-22,7236.68,7192.66,7326.54,7171.24,7192.66,465744186
21-Sep-22,7192.66,7237.64,7258.87,7170.69,7237.64,465744186
22-Sep-22,7237.64,7159.52,7243.9,7149.59,7159.52,233704494
23-Sep-22,7159.52,7018.6,7169.12,6981.5,7018.6,214101887
26-Sep-22,7018.6,7020.95,7071.11,6937.4,7020.95,521330757
27-Sep-22,7020.95,6984.59,7073.96,6984.59,6984.59,414152355
28-Sep-22,6984.59,7005.39,7011.5,6836.28,7005.39,644489235
29-Sep-22,7005.39,6881.59,7005.39,6829.29,6881.59,432440428
30-Sep-22,6881.59,6893.81,6954.92,6840.07,6893.81,370821211
03-Oct-22,6893.81,6908.76,6923.75,6797.37,6908.76,453429229
04-Oct-22,6908.76,7086.46,7088.17,6908.67,7086.46,280583748
05-Oct-22,7086.46,7052.62,7086.46,6977.95,7052.62,173548316
06-Oct-22,7052.62,6997.27,7079.74,6961.1,6997.27,152321129
07-Oct-22,6997.27,6991.09,7022.41,6960.36,6991.09,244851276
10-Oct-22,6991.09,6959.31,6999.2,6922.94,6959.31,388395654
11-Oct-22,6959.31,6885.23,6959.43,6860.31,6885.23,145955871
12-Oct-22,6885.23,6826.15,6916.94,6793.77,6826.15,331850142
13-Oct-22,6826.15,6850.27,6872.9,6707.62,6850.27,295253645
14-Oct-22,6850.27,6858.79,6976.3,6850.27,6858.79,237548984
17-Oct-22,6858.79,6920.24,6959.71,6850.43,6920.24,298575085
18-Oct-22,6920.24,6936.74,7017.4,6920.24,6936.74,266762423
19-Oct-22,6936.74,6924.99,6968.33,6890.66,6924.99,264598142
20-Oct-22,6924.99,6943.91,6954.21,6894.85,6943.91,330100240
21-Oct-22,6943.91,6969.73,6976.19,6864.13,6969.73,186908554
24-Oct-22,6969.73,7013.99,7047.37,6914.66,7013.99,158492206
25-Oct-22,7013.99,7013.48,7025.22,6949.24,7013.48,114760954
26-Oct-22,7013.48,7056.07,7057.42,6960.11,7056.07,444133025
27-Oct-22,7056.07,7073.69,7093.05,7034.24,7073.69,276735104
28-Oct-22,7073.69,7047.67,7073.69,6997.54,7047.67,180666966
31-Oct-22,7047.67,7094.53,7132.85,7030.12,7094.53,167719157
01-Nov-22,7094.53,7186.16,7221.32,7094.53,7186.16,390847972
02-Nov-22,7186.16,7144.14,7205.07,7130.5,7144.14,134009654
