Date,Open,High,Low,Close,Adj Close,Volume
21/06/2022,160.5,162.539993,158.660004,160.419998,153.714066,40945612
22/06/2022,157.660004,162.807007,157.660004,161.339996,154.595612,43468134
23/06/2022,159.360001,160.419998,154.039993,154.080002,147.639084,42518920
24/06/2022,155.080002,159.600006,152.960007,158.940002,152.295929,55663456
27/06/2022,158.580002,161.279999,157.339996,158.639999,152.008469,46256489
28/06/2022,159.740005,162.639999,159.5,160.020004,153.330795,95098056
29/06/2022,157.880005,159.580002,156.759995,156.759995,150.207062,48146770
30/06/2022,154.399994,154.919998,150.119995,153.119995,146.719223,49777626
01/07/2022,151.860001,156.720001,151.639999,153.199997,146.795868,39156126
04/07/2022,154.020004,157.039993,153.919998,155.520004,149.018906,28079764
05/07/2022,156.5,157.039001,147.179993,147.479996,141.314972,67023196
06/07/2022,148.839996,150.619995,145.979996,146.860001,140.720901,62994202
07/07/2022,149.059998,152.5,149,151.020004,144.707001,56736408
08/07/2022,151.199997,153.320007,149.160004,151.960007,145.607712,42802419
11/07/2022,149.860001,152.399994,149.520004,151,144.687836,27895710
12/07/2022,149.639999,152.220001,146.940002,152.139999,145.780197,42389480
13/07/2022,150.360001,151.800003,148.020004,149.220001,142.982254,42491244
14/07/2022,148.720001,151.141006,145.179993,145.539993,139.456085,71086571
15/07/2022,145.600006,151.520004,145.160004,150.300003,144.017105,53102595
18/07/2022,151.460007,156.341003,151.460007,154.220001,147.773239,43856613
19/07/2022,153.059998,159.600006,153.059998,158.220001,151.606033,38552890
20/07/2022,158.539993,159.720001,155.899994,157.639999,151.050262,65043186
21/07/2022,157.860001,160.779999,156.720001,158.960007,152.315094,77532446
22/07/2022,158.5,159.871994,156.759995,157.839996,151.241913,54866757
25/07/2022,156.880005,161.889999,156.220993,160.720001,154.001511,55314543
26/07/2022,160.619995,161.119995,156.740005,156.880005,150.322037,50305161
27/07/2022,157.460007,159.214996,155.699997,157.660004,151.069443,118779130
28/07/2022,156.100006,157.559998,149.300003,150.339996,144.055435,87466863
29/07/2022,153.399994,157.979996,152.539993,157.179993,150.609482,72309405
01/08/2022,160,162.080002,157.854004,159.800003,153.11998,59578386
