Date,Open,High,Low,Close,Adj Close,Volume
2022-09-23,598.000000,598.599976,574.799988,577.599976,567.012939,11021379
2022-09-26,575.400024,584.400024,562.200012,575.864990,565.309753,9290487
2022-09-27,586.799988,600.200012,583.799988,587.000000,576.240662,9096141
2022-09-28,579.799988,582.200012,553.599976,566.200012,555.821899,17499440
2022-09-29,565.000000,570.599976,551.400024,556.799988,546.594177,12089244
2022-09-30,558.000000,571.400024,557.400024,566.799988,556.410889,14744670
2022-10-03,557.799988,568.000000,549.200012,564.400024,554.054932,9560726
2022-10-04,569.200012,590.200012,567.599976,588.000000,577.222351,15078226
2022-10-05,576.599976,586.799988,569.599976,582.599976,571.921265,10132192
2022-10-06,585.799988,591.799988,568.599976,573.599976,563.086243,11108690
2022-10-07,575.400024,581.799988,570.200012,577.000000,566.423950,6736503
2022-10-10,573.200012,580.000000,569.799988,569.799988,559.355896,3500745
2022-10-11,568.400024,568.400024,543.599976,547.599976,537.562805,8398359
2022-10-12,549.799988,550.599976,532.799988,538.599976,528.727783,6833685
2022-10-13,537.000000,552.799988,530.200012,551.400024,541.293213,5252470
2022-10-14,555.400024,557.799988,538.400024,541.599976,531.672791,5954230
2022-10-17,548.000000,564.799988,546.000000,555.400024,545.219910,3367608
2022-10-18,560.799988,569.802979,558.200012,558.400024,548.164917,3250976
2022-10-19,558.400024,564.400024,555.400024,560.200012,549.931885,3454805
2022-10-20,557.400024,566.200012,554.799988,559.000000,548.753845,2995814
2022-10-21,559.000000,567.000000,552.400024,567.000000,556.607239,5729599
2022-10-24,553.000000,563.799988,551.400024,561.599976,551.306213,7481179
2022-10-25,554.200012,555.400024,534.700012,554.400024,544.238220,6423675
2022-10-26,565.400024,567.400024,521.200012,526.000000,516.358765,13824789
2022-10-27,529.799988,540.400024,523.400024,535.799988,525.979126,6816661
2022-10-28,523.000000,525.599976,515.599976,519.599976,510.076019,5540783
2022-10-31,519.000000,525.799988,516.799988,520.200012,510.665070,5908948
2022-11-01,529.400024,533.400024,525.799988,528.200012,518.518433,10276550
2022-11-02,530.200012,531.200012,521.799988,526.599976,516.947754,6360326
2022-11-03,526.000000,536.000000,522.544983,533.400024,523.623108,6329180
2022-11-04,545.200012,564.200012,538.799988,554.599976,544.434509,6312361
2022-11-07,551.400024,562.599976,548.599976,558.000000,547.772217,6314658
2022-11-08,554.799988,563.200012,553.301025,562.000000,551.698914,5532525
2022-11-09,560.200012,565.000000,558.200012,563.400024,553.073242,3645458
2022-11-10,561.599976,568.200012,557.599976,562.799988,552.484192,5289275
2022-11-11,560.599976,572.799988,557.000000,565.599976,555.232849,5764964
2022-11-14,566.200012,580.599976,564.200012,577.200012,566.620300,5295965
2022-11-15,576.799988,584.799988,572.400024,576.799988,566.227600,6190649
2022-11-16,574.599976,579.200012,573.400024,573.599976,563.086243,7905537
2022-11-17,575.000000,586.000000,570.000000,584.799988,574.080994,5013516
2022-11-18,583.599976,588.200012,580.200012,581.599976,570.939636,4855952
2022-11-21,582.599976,584.400024,577.599976,580.400024,569.761658,3193137
2022-11-22,581.799988,590.400024,581.200012,585.599976,574.866272,3423308
2022-11-23,585.799988,588.200012,582.000000,587.000000,576.240662,5716392
2022-11-24,589.599976,591.200012,584.000000,589.400024,578.596680,3142889
2022-11-25,589.000000,592.200012,585.599976,590.000000,579.185669,6629783
2022-11-28,581.000000,590.000000,577.400024,579.799988,569.172607,4762784
