Date,Open,High,Low,Close,Adj Close,Volume
2022-06-23,534.299988,539.700012,525.200012,526.599976,495.574768,37274569
2022-06-24,528.299988,537.299988,524.500000,537.299988,505.644379,30932525
2022-06-27,538.000000,541.099976,532.000000,538.599976,506.867767,49272132
2022-06-28,541.000000,549.599976,538.000000,545.799988,513.643616,38416400
2022-06-29,542.299988,555.450012,541.700012,552.099976,519.572388,24696936
2022-06-30,545.900024,550.200989,528.500000,535.599976,504.044525,30622073
2022-07-01,535.400024,540.599976,531.900024,534.400024,502.915283,16750917
2022-07-04,539.099976,543.099976,536.299988,539.700012,507.902985,9805506
2022-07-05,543.500000,544.000000,520.900024,523.099976,492.280975,42429658
2022-07-06,521.599976,526.200012,513.099976,518.700012,488.140259,34917031
2022-07-07,525.500000,538.099976,525.155029,535.599976,504.044525,31068840
2022-07-08,532.000000,532.000000,519.599976,525.799988,494.821899,27594290
2022-07-11,522.400024,532.200012,519.200012,527.700012,496.610016,21769234
2022-07-12,527.099976,530.400024,517.200012,529.799988,498.586273,20932371
2022-07-13,529.500000,532.700012,522.099976,527.200012,496.139435,22598546
2022-07-14,525.599976,528.900024,511.600006,512.400024,482.211426,32792257
2022-07-15,514.000000,518.799988,508.399994,513.900024,483.623077,28309814
2022-07-18,522.000000,524.099976,518.599976,519.799988,489.175415,24266711
2022-07-19,516.299988,524.099976,515.400024,523.400024,492.563324,24146732
2022-07-20,525.000000,525.099976,513.400024,517.799988,487.293243,37333213
2022-07-21,516.099976,523.400024,512.000000,523.400024,492.563324,30729054
2022-07-22,517.299988,523.200012,514.000000,515.200012,484.846466,22438652
2022-07-25,516.200012,528.799988,514.400024,526.500000,495.480682,45999917
2022-07-26,530.000000,532.650024,522.400024,524.500000,493.598511,22351965
2022-07-27,526.000000,529.500000,520.719971,524.200012,493.316193,34224560
2022-07-28,521.000000,523.099976,512.200012,513.400024,483.152527,21249908
2022-07-29,513.900024,519.799988,509.399994,513.700012,483.434814,32529221
2022-08-01,536.200012,557.799988,536.200012,545.200012,513.078918,31325308
2022-08-02,533.099976,541.299988,530.799988,534.400024,502.915283,39732317
2022-08-03,532.400024,544.700012,530.299988,543.400024,511.385040,42409022
2022-08-04,538.000000,545.000000,537.900024,540.799988,508.938232,19328618
2022-08-05,540.000000,544.900024,531.099976,541.900024,509.973450,13580020
2022-08-08,544.299988,549.900024,541.400024,545.500000,513.361267,14535469
2022-08-09,545.000000,556.400024,544.400024,553.500000,520.889954,36065716
2022-08-10,549.500000,555.200012,543.400024,545.000000,512.890808,18967311
2022-08-11,548.799988,550.700012,545.599976,548.900024,516.560974,8667223
2022-08-12,550.599976,554.700012,548.400024,550.500000,518.066711,10238401
2022-08-15,552.299988,553.000000,544.000000,547.000000,514.772949,14941594
2022-08-16,546.799988,553.200012,546.799988,549.799988,517.407898,15918386
2022-08-17,550.500000,552.299988,541.700012,545.099976,512.984863,13002272
2022-08-18,536.000000,543.099976,531.797974,540.700012,516.309875,35124765
2022-08-19,539.000000,540.700012,534.799988,536.799988,512.585815,32406970
2022-08-22,535.099976,539.500000,532.599976,538.200012,513.922668,23996058
2022-08-23,533.599976,534.099976,528.200012,531.299988,507.333893,16359493
2022-08-24,529.599976,531.000000,518.200012,521.200012,497.689514,21197546
2022-08-25,526.400024,528.900024,520.000000,522.500000,498.930878,10572577
2022-08-26,528.700012,531.599976,522.299988,523.000000,499.408295,34962657
2022-08-30,526.200012,538.210999,523.900024,529.500000,505.615112,19503771
2022-08-31,534.000000,534.020020,526.099976,528.799988,504.946625,44929787
2022-09-01,527.900024,530.900024,518.400024,520.799988,497.307526,19962553
2022-09-02,527.599976,535.299988,524.700012,534.900024,510.771545,21503657
2022-09-05,530.599976,536.799988,527.799988,536.799988,512.585815,18525092
2022-09-06,535.299988,539.099976,528.500000,533.700012,509.625671,19060401
2022-09-07,530.000000,531.299988,518.799988,523.000000,499.408295,30639882
2022-09-08,525.700012,529.299988,520.700012,525.500000,501.795532,18174238
2022-09-09,526.200012,530.200012,524.299988,525.000000,501.318085,20565779
2022-09-12,532.799988,539.099976,526.807983,536.000000,511.821899,31988724
2022-09-13,535.299988,535.400024,527.400024,529.599976,505.710541,17040989
2022-09-14,528.099976,529.599976,517.200012,518.900024,495.493286,22921832
2022-09-15,523.799988,531.599976,521.799988,529.700012,505.806091,21711834
2022-09-16,530.900024,537.000000,527.299988,529.599976,505.710541,53237791
2022-09-20,537.599976,541.000000,530.200012,534.099976,510.007568,31180004
2022-09-21,537.000000,537.000000,518.900024,524.900024,501.222595,60407934
2022-09-22,519.700012,523.700012,512.932983,515.000000,491.769165,23443275
2022-09-23,519.299988,522.000000,505.500000,510.000000,486.994690,35204699
2022-09-26,501.299988,506.075989,492.000000,499.600006,477.063843,32819024
2022-09-27,502.000000,504.100006,495.350006,495.700012,473.339783,43346266
2022-09-28,484.000000,485.149994,469.549988,483.450012,461.642365,40585129
2022-09-29,476.600006,479.500000,461.950012,467.000000,445.934357,33273984
2022-09-30,468.500000,483.632996,465.000000,467.299988,446.220825,35679383
2022-10-03,462.399994,463.149994,453.500000,461.399994,440.586975,22714763
2022-10-04,462.250000,484.309998,461.399994,481.950012,460.209991,50766235
2022-10-05,477.000000,478.549988,465.149994,472.399994,451.090759,41395079
2022-10-06,474.000000,478.450012,468.399994,471.299988,450.040405,41892928
2022-10-07,470.000000,473.350006,463.899994,467.000000,445.934357,18751759
2022-10-10,463.049988,467.700012,461.649994,462.750000,441.876068,25125380
2022-10-11,461.200012,462.149994,452.850006,454.500000,433.998230,22331842
2022-10-12,453.000000,453.899994,443.634003,449.049988,428.794037,28862427
2022-10-13,448.149994,461.799988,442.350006,459.250000,438.533966,30719721
2022-10-14,460.000000,465.149994,456.250000,458.799988,438.104248,41288892
2022-10-17,464.000000,475.200012,462.450012,471.250000,449.992645,35260400
2022-10-18,472.149994,476.450012,464.649994,465.750000,444.740753,25040138
2022-10-19,469.000000,477.750000,466.649994,474.000000,452.618591,24410156
2022-10-20,473.250000,477.700012,470.799988,472.899994,451.568237,26091880
2022-10-21,474.750000,478.299988,467.899994,477.850006,456.294922,21917926
2022-10-24,471.000000,477.600006,468.250000,475.100006,453.668976,25541061
2022-10-25,460.299988,460.378998,436.200012,442.649994,422.682739,51977901
2022-10-26,449.350006,449.750000,434.700012,443.950012,423.924103,80604898
2022-10-27,446.149994,452.149994,442.500000,450.149994,429.844452,20824542
2022-10-28,445.450012,446.049988,439.649994,442.200012,422.253052,19656016
2022-10-31,443.299988,453.000000,442.450012,447.299988,427.122986,29847740
2022-11-01,453.600006,459.600006,452.850006,458.549988,437.865509,34411390
2022-11-02,460.000000,460.950012,450.299988,456.799988,436.194458,15752022
2022-11-03,454.399994,463.149994,452.950012,463.149994,442.258026,18286802
2022-11-04,471.649994,495.424988,468.549988,490.000000,467.896881,46287338
2022-11-07,486.500000,491.399994,476.100006,479.399994,457.774994,27647071
2022-11-08,478.450012,482.149994,475.841003,478.649994,457.058838,12175981
2022-11-09,477.149994,478.350006,472.850006,476.700012,455.196808,10679605
2022-11-10,475.500000,479.049988,468.950012,474.149994,452.761841,20113839
